Concesionaria,Marca,Modelo,Versión,Tipo Carrocería,Precio (US$),Combustible,Motor (Cilindrada / HP / Torque),Transmisión (MT / AT / CVT y N° de marchas),Tracción,Largo (mm),Ancho (mm),Alto (mm),Despeje del suelo (mm),Baulera (Litros),Plazas (Asientos) (Nuevo),"ADAS (Full, Intermedio, Sin ADAS)",Asientos de Cuero (Sí/No),Techo Panorámico/Corredizo (Sí/No),Tamaño Pantalla (Pulgadas),Conectividad (Inalámbrico/Cable),Cámaras (Retroceso / 360),Garantía,Origen,URL del Auto,URL de Imagen,Subsegmento,Airbags
Automaq,Citroën,C3,1.0 Firefly Live BVM5,Hatchback,$12.990,Flex,"1,0",MT 5,2WD,3981,1733,1586,180,315,5,,No,,"10""",Inalámbrica,,3 años o 100.000km,Brasil,https://www.citroen.com.py/content/dam/citroen/paraguay/2026-enero/c3.pdf,https://www.citroen.com.py/content/dam/citroen/paraguay/nuevoc3/todosobrec3/ROBUSTES-C3-2080-1531-scaled.jpg?imwidth=991,,2
Automaq,Citroën,C3,1.0 Firefly Feel BVM5,Hatchback,$13.490,Flex,"1,0",MT 5,2WD,3981,1733,1586,180,315,5,,No,Barras,"10""",Inalámbrica,,3 años o 100.000km,Brasil,https://www.citroen.com.py/content/dam/citroen/paraguay/2026-enero/c3.pdf,https://www.citroen.com.py/content/dam/citroen/paraguay/nuevoc3/todosobrec3/ROBUSTES-C3-2080-1531-scaled.jpg?imwidth=991,,2
Automaq,Citroën,C3 Aircross,1.0 T Shine CVT,SUV,$17.990,Flex,1.0 T,CVT,2WD,4320,1796,1663,200,493,5,,Simil Cuero,Embellecedores,"10""",Inalámbrica,Trasera,3 años o 100.000km,Brasil,https://www.citroen.com.py/content/dam/citroen/paraguay/2026-enero/c3aircross.pdf,https://www.citroen.com.py/content/dam/citroen/paraguay/2025-noviembre/c3-d2.jpg?imwidth=991,,4
Automaq,Citroën,C3 Aircross,1.0 T Shine CVT,SUV,$20.490,Flex,1.0 T,CVT,2WD,4320,1796,1663,200,493,7,,Simil Cuero,Embellecedores,"10""",Inalámbrica,Trasera,3 años o 100.000km,Brasil,https://www.citroen.com.py/content/dam/citroen/paraguay/2026-enero/c3aircross.pdf,https://www.citroen.com.py/content/dam/citroen/paraguay/2025-noviembre/c3-d2.jpg?imwidth=991,,4
Automaq,Citroën,C3 Aircross,Shine 7S 1.0 T CVT,SUV,$21.690,Flex,1.0 T,CVT,2WD,4320,1796,1663,200,493,7,,Simil Cuero,Embellecedores,"10""",Inalámbrica,Trasera,3 años o 100.000km,Brasil,https://www.citroen.com.py/content/dam/citroen/paraguay/2026-enero/c3aircross.pdf,https://www.citroen.com.py/content/dam/citroen/paraguay/2025-noviembre/c3-d2.jpg?imwidth=991,,4
Automaq,Citroën,C4 Cactus,1.6 BVA6 THP Shine,SUV,$21.490,Flex,"1,0",AT 6,2WD,4170,1714,1563,221,320,5,Sí,Sí,Barras,"10""",Inalámbrica,Trasera,3 años o 100.000km,Brasil,https://www.citroen.com.py/content/dam/citroen/paraguay/2026-enero/c4cactus.pdf,https://www.citroen.com.py/content/dam/citroen/paraguay/c4cactus/primera-diseno_2880_1531.webp?imwidth=991,,6
Automaq,Citroën,Basalt,1.0 MT5 Live,SUV Coupé,$14.990,Flex,,MT 5,2WD,4343,1765,1593,180,490,5,,No,,,,No,3 años o 100.000km,Brasil,https://www.citroen.com.py/content/dam/citroen/paraguay/2026-enero/basalt.pdf,https://www.citroen.com.py/content/dam/citroen/paraguay/basalt/galeria/galeria-2-desk.webp?imwidth=991,,4
Automaq,Citroën,Basalt,1.0 T CVT Feel,SUV Coupé,$17.690,Flex,1.0 T,CVT,2WD,4343,1765,1593,180,490,5,,No,,"10""",Inalámbrica,Trasera,3 años o 100.000km,Brasil,https://www.citroen.com.py/content/dam/citroen/paraguay/2026-enero/basalt.pdf,https://www.citroen.com.py/content/dam/citroen/paraguay/basalt/galeria/galeria-2-desk.webp?imwidth=991,,4
Automaq,Citroën,Basalt,1.0 T CVT Shine,SUV Coupé,$18.990,Flex,1.0 T,CVT,2WD,4343,1765,1593,180,490,5,,Sí,,"10""",Inalámbrica,Trasera,3 años o 100.000km,Brasil,https://www.citroen.com.py/content/dam/citroen/paraguay/2026-enero/basalt.pdf,https://www.citroen.com.py/content/dam/citroen/paraguay/basalt/galeria/galeria-2-desk.webp?imwidth=991,,4
Automaq,Citroën,C5 Aircross,1.6 THP Shine,SUV,$36.990,Nafta,1.6 THP,AT 6,2WD,4500,1859,1695,230,580,5,,,,,,,5 años o 100.000km,Francia,https://www.citroen.com.py/content/dam/citroen/paraguay/2026-enero/c5aircross.pdf,https://www.citroen.com.py/content/dam/citroen/master/b2c/models/new-c5-aircross/l-m/Citroen_C5_Aircross_Confort_2880_1531.jpg?imwidth=991,,
Automaq,Peugeot,208,MCA Allure 1.0 T 125 CVT,Hatchback,$19.480,Nafta,1.0 T,CVT,2WD,4055,1738,1453,150,311,5,,,,,,,3 años o 100.000km,Argentina,https://www.peugeot.com.py/content/dam/peugeot/paraguay/2026-enero/n208.pdf,https://www.peugeot.com.py/content/dam/peugeot/paraguay/nuevo208-2025/allure1.jpg?imwidth=991,,
Automaq,Peugeot,208,MCA Allure Pack 1.0 T CVT,Hatchback,$21.190,Nafta,1.0 T,CVT,2WD,4055,1738,1453,150,311,5,,,,,,,3 años o 100.000km,Argentina,https://www.peugeot.com.py/content/dam/peugeot/paraguay/2026-enero/n208.pdf,https://www.peugeot.com.py/content/dam/peugeot/paraguay/nuevo208-2025/allure1.jpg?imwidth=991,,
Automaq,Peugeot,208,MCA GT 1.0 T Bio Hybrid,Hatchback,$22.790,Bio Hybrid,1.0 T,CVT,2WD,4055,1738,1453,150,311,5,,,,,,,3 años o 100.000km,Argentina,https://www.peugeot.com.py/content/dam/peugeot/paraguay/2026-enero/n208.pdf,https://www.peugeot.com.py/content/dam/peugeot/paraguay/nuevo208-2025/allure1.jpg?imwidth=991,,
Automaq,Peugeot,2008,Active 1.0 T CVT,SUV,$20.990,Nafta,1.0 T,CVT,2WD,4300,1770,1540,200,434,5,,Mixto,Barras,"10""",Inalámbrica,180°,3 años o 100.000km,Argentina,https://www.peugeot.com.py/content/dam/peugeot/paraguay/2026-enero/n2008.pdf,https://www.peugeot.com.py/content/dam/peugeot/paraguay/nuevo-2008-2024/2008-1.jpg?imwidth=991,,4
Automaq,Peugeot,2008,Active 1.0 T CVT (Cuero),SUV,$21.990,Nafta,1.0 T,CVT,2WD,4300,1770,1540,200,434,5,,Sí,Barras,"10""",Inalámbrica,180°,3 años o 100.000km,Argentina,https://www.peugeot.com.py/content/dam/peugeot/paraguay/2026-enero/n2008.pdf,https://www.peugeot.com.py/content/dam/peugeot/paraguay/nuevo-2008-2024/2008-1.jpg?imwidth=991,,4
Automaq,Peugeot,2008,Allure 1.0 T CVT,SUV,$23.990,Nafta,1.0 T,CVT,2WD,4300,1770,1540,200,434,5,,Sí,Barras,"10""",Inalámbrica,360°,3 años o 100.000km,Argentina,https://www.peugeot.com.py/content/dam/peugeot/paraguay/2026-enero/n2008.pdf,https://www.peugeot.com.py/content/dam/peugeot/paraguay/nuevo-2008-2024/2008-1.jpg?imwidth=991,,4
Automaq,Peugeot,2008,GT 1.0 T Bio Hybrid,SUV,$27.990,Bio Hybrid,1.0 T,CVT,2WD,4300,1770,1540,200,434,5,Sí,Sí,Panorámico,"10""",Inalámbrica,360°,3 años o 100.000km,Argentina,https://www.peugeot.com.py/content/dam/peugeot/paraguay/2026-enero/n2008.pdf,https://www.peugeot.com.py/content/dam/peugeot/paraguay/nuevo-2008-2024/2008-1.jpg?imwidth=991,,6
Automaq,Peugeot,3008,Allure 1.6 THP 165 EAT6,SUV,$32.990,Nafta,1.6 THP,AT 6,2WD,4447,1841,1624,219,520,5,,,,,,,5 años o 100.000km,Francia,https://www.peugeot.com.py/content/dam/peugeot/paraguay/catalogos2024/FICHA_TECNICA_NEW_PEUGEOT_3008_2024.pdf,https://autoanalitica.com.mx/wp-content/uploads/2023/03/Peugeot-3008-2024_2-1024x576.jpg,,
Automaq,Peugeot,3008,GT Line 1.6 THP 165 EAT6,SUV,$39.990,Nafta,1.6 THP,AT 6,2WD,4447,1841,1624,219,520,5,,,,,,,5 años o 100.000km,Francia,https://www.peugeot.com.py/content/dam/peugeot/paraguay/catalogos2024/FICHA_TECNICA_NEW_PEUGEOT_3008_2024.pdf,https://autoanalitica.com.mx/wp-content/uploads/2023/03/Peugeot-3008-2024_2-1024x576.jpg,,
Automaq,Peugeot,Landtrek,Active 1.9 Diesel 4x2 MT6,Pick-up,$27.990,Diesel,"1,9",MT 6,2WD,5330,1963,1897,235,,5,,Tela/Cuero,,"10""",USB/Radio,Trasera,5 años o 100.000km,Uruguay,,,,6
Automaq,Peugeot,Landtrek,Active 1.9 Diesel 4x4 MT6,Pick-up,$29.990,Diesel,"1,9",MT 6,4WD,5330,1963,1897,235,,5,,Tela/Cuero,,"10""",USB/Radio,Trasera,5 años o 100.000km,Uruguay,,,,6
Automaq,Peugeot,Landtrek,Active 2.2 Diesel 4x4 AT8,Pick-up,$40.990,Diesel,"2,2",AT 8,4WD,5330,1963,1897,235,,5,,Tela/Cuero,,"10""",USB/Radio,Trasera,5 años o 100.000km,Uruguay,,,,6
Automotor,Geely,Emgrand GX3 PRO,AT 1.5 Luxury (2025),SUV,$14.490,Nafta,1.5cc / 103 HP / 143 Nm,Automático CVT,4x2,4005,1760,1575,185,400,,Sin ADAS,Sí,Sí,8,Cable,Retroceso,5 años o 100.000 km,China,,https://geelyparaguay.com/assets/images/home/GX3-pro/GX3PRO_1-comprimido.webp,,
Automotor,Geely,Coolray Pro,Luxury (2024),SUV,$20.990,Nafta,1.5T / 174 HP / 290 Nm,AT 7DCT,4x2,4380,1810,1615,196,330,5,Full,Sí,Sí,"14,6",Inalámbrico/Cable,360,5 años o 100.000 km,China,,https://geelyparaguay.com/assets/images/cars/newcoolray/VARIANTE-EXTERIOR-5-new-coolray.webp,,
Automotor,Geely,Coolray Pro,Luxury (2025),SUV,$21.990,Nafta,1.5T / 174 HP / 290 Nm,AT 7DCT,4x2,4380,1810,1615,196,330,5,Full,Sí,Sí,"14,6",Inalámbrico/Cable,360,5 años o 100.000 km,China,,https://geelyparaguay.com/assets/images/cars/newcoolray/VARIANTE-EXTERIOR-5-new-coolray.webp,,
Automotor,Geely,Azkarra,Luxury,SUV,$23.990,Nafta,1.5cc / 177 HP / 265 Nm,Automático DCT 7,4x4,4544,1831,1713,171,377,5,Intermedio,Sí,Sí,"12,3",Cable,360,5 años o 100.000 km,China,,https://geelyparaguay.com/assets/images/home/azkarra/Azkarra_1-comprimido.webp,,
Automotor,Geely,Starray,Exclusive,SUV,$28.990,Nafta,2.0L / 160 kW / 325 Nm,Automático DCT 7,FWD,4670,1900,1705,190,650,5,Full,Sí,Sí,"13,2",Cable,360,5 años o 100.000 km,China,,https://geelyparaguay.com/assets/images/home/starray/Starray_1-comprimido.webp,,
Automotor,Geely,RIDDARA RD6,ESTANDAR,Pickup,$35.990,EV,63 kWh / 268 HP / 384 Nm,Automático,4x2,5260,1900,1865,220,1200,5,Sin ADAS,Sí,No,"12,3",Inalámbrico/Cable,Retroceso,5 años o 100.000 km,China,,https://www.riddara.com.py/images/tmp/Riddara_Frontal.jpg,,
Automotor,Geely,RIDDARA RD6,LUXURY,Pickup,$45.990,EV,86 kWh / 268 HP / 384 Nm,Automático,4x2,5260,1900,1865,220,1200,5,Sin ADAS,Sí,Sí,"12,3",Inalámbrico/Cable,Retroceso,5 años o 100.000 km,China,,https://www.riddara.com.py/images/tmp/Riddara_Frontal.jpg,,
Automotor,Geely,Emgrand GX3 PRO,Comfort (2026),SUV,$13.990,Nafta,1.5cc / 103 HP / 143 Nm,MT 5,4x2,4005,1760,1575,185,400,,Sin ADAS,Sí,No,8,Cable,Retroceso,5 años o 100.000 km,China,,https://geelyparaguay.com/assets/images/home/GX3-pro/GX3PRO_1-comprimido.webp,,
Automotor,Geely,Emgrand GX3 PRO,Luxury (2026),SUV,$14.990,Nafta,1.5cc / 103 HP / 143 Nm,Automático CVT,4x2,4005,1760,1575,185,400,,Sin ADAS,Sí,Sí,8,Cable,Retroceso,5 años o 100.000 km,China,,https://geelyparaguay.com/assets/images/home/GX3-pro/GX3PRO_1-comprimido.webp,,
Automotor,Geely,Coolray Lite,Mecánico (2026),SUV,$16.500,Nafta,1.5 / 125 HP / 152 Nm,MT 5,4x2,4330,1800,1609,196,330,5,Sin ADAS,Sí,No,8,Inalámbrico/Cable,Retroceso,5 años o 100.000 km,China,,https://geelyparaguay.com/assets/images/cars/coolray-lite/VARIANTE-EXTERIOR-2c.webp,,
Automotor,Geely,Coolray Lite,Automático (2026),SUV,$17.990,Nafta,1.5 / 125 HP / 152 Nm,CVT,4x2,4330,1800,1609,196,330,5,Sin ADAS,Sí,No,8,Inalámbrico/Cable,Retroceso,5 años o 100.000 km,China,,https://geelyparaguay.com/assets/images/cars/coolray-lite/VARIANTE-EXTERIOR-2c.webp,,
Automotor,Geely,Cityray,Comfort (2026),SUV,$23.490,Nafta,1.5T / 172 HP / 290 Nm,AT 7DCT,4x2,4510,1865,1650,180,398,5,Full,Sí,Sí,"13,2",Inalámbrico,360,5 años o 100.000 km,China,,https://geelyparaguay.com/assets/images/home/cityray/cityray1.webp,,
Automotor,Geely,Cityray,Luxury (2026),SUV,$27.490,Nafta,1.5T / 172 HP / 290 Nm,AT 7DCT,4x2,4510,1865,1650,180,398,5,Full,Sí,Sí,"13,2",Inalámbrico,360,5 años o 100.000 km,China,,https://geelyparaguay.com/assets/images/home/cityray/cityray1.webp,,
Automotor,Geely,Starray,Exclusive (2026),SUV,$29.990,Nafta,2.0L / 160 kW / 325 Nm,Automático DCT 7,FWD,4670,1900,1705,190,650,5,Full,Sí,Sí,"13,2",Cable,360,5 años o 100.000 km,China,,https://geelyparaguay.com/assets/images/home/starray/Starray_1-comprimido.webp,,
Automotor,Geely,Starray,Luxury (2026),SUV,$32.990,Nafta,2.0L / 160 kW / 325 Nm,Automático DCT 7,FWD,4670,1900,1705,190,650,5,Full,Sí,Sí,"13,2",Cable,360,5 años o 100.000 km,China,,https://geelyparaguay.com/assets/images/home/starray/Starray_1-comprimido.webp,,
